minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.589,0.7584,0.6555,0.219,0.5648,0.2939,0.156,0.2092,0.2108,1968.0
0.9669,0.986,0.8176,0.1659,0.9847,0.8472,0.4575,0.8691,0.9666,10121.0
0.8666,0.9768,0.6823,0.4976,0.943,0.6807,0.2111,0.7571,0.9548,334.0
0.6377,0.7335,0.611,0.3862,0.8609,0.7389,0.6842,0.8727,0.7345,2079.0
0.9936,0.9968,0.7561,0.4865,0.9879,0.774,0.8395,0.9882,0.9965,1636.0
0.766,0.8173,0.6644,0.859,0.418,0.7972,0.7179,0.922,0.6498,284.0
0.9472,0.9761,0.6998,0.3403,0.9825,0.6705,0.7332,0.9137,0.9596,10143.0
0.9583,0.9723,0.7851,0.2114,0.9822,0.6807,0.9462,0.9554,0.9742,1368.0
0.6746,0.8841,0.3849,0.8542,0.7736,0.7475,0.3684,0.8179,0.9427,1438.0
0.7405,0.7717,0.6307,0.5387,0.4209,0.5985,0.9955,0.8386,0.745,393.0
0.9752,0.9898,0.9904,0.057,0.9917,0.872,0.4406,0.894,0.7883,84296.0
0.9491,0.9889,0.4776,0.2964,0.9838,0.6154,0.8198,0.8408,0.9459,1637.0
0.6819,0.8962,0.9357,0.0509,0.8488,0.3986,0.6606,0.6991,0.2623,1818.0
0.5501,0.6176,0.2655,0.7619,0.6695,0.0704,0.8408,0.5387,0.532,284.0
0.7377,0.921,0.6377,0.5014,0.9363,0.7389,0.5982,0.9109,0.8825,1236.0
0.9698,0.9882,0.6132,0.2869,0.9812,0.7389,0.5801,0.845,0.9806,2695.0
0.6049,0.8399,0.1092,0.4429,0.4804,0.1624,0.8386,0.2588,0.5727,164.0
0.7434,0.9557,0.9513,0.2964,0.5606,0.2038,0.5635,0.5221,0.2853,104.0
0.9656,0.9962,0.8914,0.1869,0.9946,0.313,0.7746,0.8303,0.8157,3342.0
0.8618,0.9656,0.8488,0.3212,0.9452,0.3473,0.6835,0.8249,0.5049,1284.0
0.4725,0.6724,0.6097,0.2499,0.5037,0.2763,0.2436,0.205,0.2197,1221.0
0.9226,0.9784,0.9752,0.1025,0.9806,0.2939,0.306,0.5651,0.4425,22753.0
0.6507,0.7692,0.7896,0.1086,0.5883,0.1754,0.1891,0.1917,0.1834,3456.0
0.5161,0.5753,0.3613,0.4279,0.3926,0.5985,0.5489,0.3929,0.3906,336.0
0.9446,0.9624,0.8354,0.4167,0.9688,0.313,0.3337,0.6832,0.8214,22791.0
0.901,0.9472,0.9309,0.0888,0.9188,0.7284,0.4196,0.7915,0.7797,16234.0
0.9462,0.9707,0.588,0.219,0.9784,0.0497,0.0478,0.2047,0.5677,477.0
0.9675,0.9634,0.8618,0.2709,0.9799,0.4537,0.6116,0.8357,0.9105,22654.0
0.8984,0.9548,0.9806,0.1493,0.9589,0.4877,0.6387,0.8516,0.5724,26319.0
0.9268,0.9854,0.9971,0.0064,0.9551,0.9949,0.582,0.9443,0.4088,6898.0
0.9577,0.9698,0.8437,0.1391,0.9678,0.6587,0.54,0.8259,0.9045,8355.0
0.7026,0.8838,0.7628,0.4117,0.8424,0.313,0.845,0.8348,0.377,2779.0
