fips,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
48337,365.0,19384.0,930.9052865,20.82274135,0.4486,0.7822,0.4518,0.6663,0.7523,0.1404,0.4559,0.4604,0.625,1947.0,5130.0,4248.0,2307.0
48339,5811.0,518849.0,1041.919019,497.9744015,0.7122,0.9023,0.9029,0.6004,0.872,0.1404,0.0669,0.5275,0.3992,45780.0,85201.0,113465.0,128928.0
48341,227.0,22186.0,899.6905395,24.65959019,0.9567,0.9933,0.4814,0.7026,0.9892,0.4187,0.0974,0.5842,0.8055,4077.0,3264.0,3350.0,1779.0
48343,259.0,12653.0,251.9847236,50.21336143,0.7453,0.7654,0.2015,0.4935,0.9035,0.7284,0.2299,0.5119,0.8294,984.0,3559.0,2824.0,1233.0
48345,0.0,1022.0,989.5654881,1.032776519,0.4527,0.0,0.1051,0.3212,0.823,0.313,0.0,0.0987,0.3244,110.0,275.0,347.0,148.0
48347,800.0,65556.0,946.5383179,69.25868585,0.8045,0.9032,0.8838,0.7466,0.7631,0.7587,0.9067,0.9971,0.9557,6420.0,10763.0,11221.0,9229.0
48349,794.0,48177.0,1009.63177,47.71739702,0.8274,0.943,0.5024,0.73,0.9338,0.7389,0.476,0.9016,0.9819,6889.0,9285.0,10706.0,5086.0
48351,277.0,14138.0,933.6767004,15.1422864,0.6593,0.2786,0.0,0.9144,0.0936,0.0872,0.22,0.0506,0.5091,1635.0,4209.0,3020.0,956.0
48353,257.0,15017.0,911.9967616,16.46606724,0.8297,0.7841,0.6683,0.3085,0.7635,0.774,0.5947,0.8052,0.8953,1684.0,3338.0,3034.0,1443.0
48355,4683.0,355667.0,838.31382,424.2647461,0.9663,0.8596,0.886,0.134,0.9261,0.788,0.5339,0.8679,0.8204,40461.0,68931.0,74723.0,51445.0
48357,110.0,10577.0,917.6841842,11.52575165,0.9077,0.9755,0.7144,0.681,0.9612,0.0704,0.0586,0.4725,0.5877,1552.0,2006.0,1564.0,949.0
48359,0.0,2069.0,1500.523317,1.378852282,0.6619,0.6428,0.2783,0.7026,0.8421,0.0045,0.9863,0.6543,0.5632,122.0,470.0,393.0,278.0
